state,age_band,share_early,share_late,pct_point_change,pct_relative_change
A & N Islands,Incest (Rape) No. of Victims - (10-14) Years,0.0,0.0,0.0,
A & N Islands,Incest (Rape) No. of Victims - (14-18) Years,0.08333333333333333,0.0,-0.08333333333333333,-1.0
A & N Islands,Incest (Rape) No. of Victims - (18-30)Years,0.0,0.0,0.0,
A & N Islands,Incest (Rape) No. of Victims - (30-50) Years,0.0,0.0,0.0,
A & N Islands,Other (Rape) No. of Victims - (10-14) Years,0.0,0.075,0.075,
A & N Islands,Other (Rape) No. of Victims - (14-18) Years,0.3333333333333333,0.25,-0.08333333333333331,-0.24999999999999994
A & N Islands,Other (Rape) No. of Victims - (18-30)Years,0.08333333333333333,0.15,0.06666666666666667,0.8
A & N Islands,Other (Rape) No. of Victims - (30-50) Years,0.0,0.025,0.025,
A & N Islands,Rape Cases (Total) No. of Victims - (10-14) Years,0.0,0.075,0.075,
A & N Islands,Rape Cases (Total) No. of Victims - (14-18) Years,0.4166666666666667,0.25,-0.16666666666666669,-0.4
A & N Islands,Rape Cases (Total) No. of Victims - (18-30)Years,0.08333333333333333,0.15,0.06666666666666667,0.8
A & N Islands,Rape Cases (Total) No. of Victims - (30-50) Years,0.0,0.025,0.025,
Agra,Incest (Rape) No. of Victims - (10-14) Years,0.0,0.0,0.0,
Agra,Incest (Rape) No. of Victims - (14-18) Years,0.004424778761061947,0.0,-0.004424778761061947,-1.0
Agra,Incest (Rape) No. of Victims - (18-30)Years,0.004424778761061947,0.03571428571428571,0.031289506953223765,7.071428571428571
Agra,Incest (Rape) No. of Victims - (30-50) Years,0.01327433628318584,0.0,-0.01327433628318584,-1.0
Agra,Other (Rape) No. of Victims - (10-14) Years,0.022123893805309734,0.03571428571428571,0.013590391908975978,0.6142857142857142
Agra,Other (Rape) No. of Victims - (14-18) Years,0.14601769911504425,0.0625,-0.08351769911504425,-0.571969696969697
Agra,Other (Rape) No. of Victims - (18-30)Years,0.24336283185840707,0.2767857142857143,0.03342288242730723,0.13733766233766245
Agra,Other (Rape) No. of Victims - (30-50) Years,0.06637168141592921,0.08928571428571429,0.022914032869785078,0.3452380952380951
Agra,Rape Cases (Total) No. of Victims - (10-14) Years,0.022123893805309734,0.03571428571428571,0.013590391908975978,0.6142857142857142
Agra,Rape Cases (Total) No. of Victims - (14-18) Years,0.1504424778761062,0.0625,-0.0879424778761062,-0.5845588235294118
Agra,Rape Cases (Total) No. of Victims - (18-30)Years,0.24778761061946902,0.3125,0.06471238938053098,0.2611607142857143
Agra,Rape Cases (Total) No. of Victims - (30-50) Years,0.07964601769911504,0.08928571428571429,0.009639696586599245,0.12103174603174607
Ahmedabad,Incest (Rape) No. of Victims - (10-14) Years,0.0,0.017241379310344827,0.017241379310344827,
Ahmedabad,Incest (Rape) No. of Victims - (14-18) Years,0.007936507936507936,0.008620689655172414,0.0006841817186644776,0.08620689655172419
Ahmedabad,Incest (Rape) No. of Victims - (18-30)Years,0.031746031746031744,0.04741379310344827,0.01566776135741653,0.4935344827586207
Ahmedabad,Incest (Rape) No. of Victims - (30-50) Years,0.0,0.0,0.0,
Ahmedabad,Other (Rape) No. of Victims - (10-14) Years,0.05555555555555555,0.04741379310344827,-0.008141762452107279,-0.14655172413793102
Ahmedabad,Other (Rape) No. of Victims - (14-18) Years,0.11904761904761904,0.01293103448275862,-0.10611658456486042,-0.8913793103448276
Ahmedabad,Other (Rape) No. of Victims - (18-30)Years,0.2222222222222222,0.28448275862068967,0.06226053639846746,0.2801724137931036
Ahmedabad,Other (Rape) No. of Victims - (30-50) Years,0.06349206349206349,0.08189655172413793,0.01840448823207444,0.28987068965517243
Ahmedabad,Rape Cases (Total) No. of Victims - (10-14) Years,0.05555555555555555,0.06465517241379311,0.009099616858237555,0.163793103448276
Ahmedabad,Rape Cases (Total) No. of Victims - (14-18) Years,0.12698412698412698,0.021551724137931036,-0.10543240284619594,-0.830280172413793
Ahmedabad,Rape Cases (Total) No. of Victims - (18-30)Years,0.25396825396825395,0.33189655172413796,0.077928297755884,0.30684267241379326
Ahmedabad,Rape Cases (Total) No. of Victims - (30-50) Years,0.06349206349206349,0.08189655172413793,0.01840448823207444,0.28987068965517243
Allahabad,Incest (Rape) No. of Victims - (10-14) Years,0.0,0.0,0.0,
Allahabad,Incest (Rape) No. of Victims - (14-18) Years,0.0,0.0,0.0,
Allahabad,Incest (Rape) No. of Victims - (18-30)Years,0.02,0.0,-0.02,-1.0
Allahabad,Incest (Rape) No. of Victims - (30-50) Years,0.0,0.0,0.0,
Allahabad,Other (Rape) No. of Victims - (10-14) Years,0.02,0.03333333333333333,0.013333333333333332,0.6666666666666666
Allahabad,Other (Rape) No. of Victims - (14-18) Years,0.08,0.13333333333333333,0.05333333333333333,0.6666666666666666
