state,change_year,before_mean,after_mean,effect
Andhra Pradesh,2004,2001.8,2009.0,7.2000000000000455
Arunachal Pradesh,2004,2001.8,2009.0,7.2000000000000455
Assam,2004,2001.8,2009.0,7.2000000000000455
Tripura,2004,2001.8,2009.0,7.2000000000000455
Bihar,2004,2001.8,2009.0,7.2000000000000455
Chandigarh,2004,2001.8,2009.0,7.2000000000000455
Goa,2004,2001.8,2009.0,7.2000000000000455
Karnataka,2004,2001.8,2009.0,7.2000000000000455
Himachal Pradesh,2004,2001.8,2009.0,7.2000000000000455
Haryana,2004,2001.8,2009.0,7.2000000000000455
Gujarat,2004,2001.8,2009.0,7.2000000000000455
Kerala,2004,2001.8,2009.0,7.2000000000000455
Rajasthan,2004,2001.8,2009.0,7.2000000000000455
Nagaland,2004,2001.8,2009.0,7.2000000000000455
Mizoram,2004,2001.8,2009.0,7.2000000000000455
Meghalaya,2004,2001.8,2009.0,7.2000000000000455
Manipur,2004,2001.8,2009.0,7.2000000000000455
Maharashtra,2004,2001.8,2009.0,7.2000000000000455
Madhya Pradesh,2004,2001.8,2009.0,7.2000000000000455
West Bengal,2004,2001.8,2009.0,7.2000000000000455
Uttar Pradesh,2004,2001.8,2009.0,7.2000000000000455
Sikkim,2004,2001.8,2009.0,7.2000000000000455
Tamil Nadu,2004,2001.8,2009.0,7.2000000000000455
Punjab,2004,2001.8,2009.0,7.2000000000000455
A&N Islands,2005,2003.0,2009.5,6.5
Daman & Diu,2005,2003.0,2009.5,6.5
D&N Haveli,2005,2003.0,2009.5,6.5
Lakshadweep,2005,2003.0,2009.5,6.5
Jharkhand,2005,2003.0,2009.5,6.5
Jammu & Kashmir,2005,2003.0,2009.5,6.5
Delhi UT,2005,2003.0,2009.5,6.5
Chhattisgarh,2005,2003.0,2009.5,6.5
Odisha,2005,2003.0,2009.5,6.5
Puducherry,2005,2003.0,2009.5,6.5
Uttarakhand,2005,2003.0,2009.5,6.5
