state,recent_total,child_share,known_share,trend_slope,c_recent,c_child,c_known_inv,c_trend,cvi_score,rank
Andhra Pradesh,1095.0,25.0,0.5665361338554645,0.9999999999999872,0.8160179030963741,0.7575757575757576,0.9128707699971478,1.0,0.8483752546319187,1
Uttar Pradesh,2769.0,13.291666666666666,0.8018511925952296,0.9999999999999872,0.9241119051876839,0.40277777777777773,0.8766809867673593,1.0,0.7956754038729899,2
Goa,60.0,33.0,0.015485938056247775,0.9999999999999872,0.47926049414913086,1.0,0.9976183728131682,1.0,0.791227872222286,3
Karnataka,504.0,20.352941176470587,0.18294766820932717,0.9999999999999872,0.7256814602543296,0.6167557932263814,0.9718639491652219,1.0,0.7888343222413716,4
Rajasthan,5310.0,3.0918367346938775,0.6576717693129227,0.9999999999999872,1.0,0.09369202226345083,0.8988547571275172,1.0,0.7531939569913662,5
Maharashtra,2061.0,9.372781065088757,0.783374866500534,0.9999999999999872,0.889699813585975,0.28402366863905326,0.8795225143764759,1.0,0.7527903454694486,6
Assam,1657.0,4.380952380952381,0.6652901388394447,0.9999999999999872,0.8642770880368071,0.13275613275613277,0.8976831060516964,1.0,0.7084364896140954,7
Haryana,1373.0,3.919191919191919,0.2692061231755073,0.9999999999999872,0.8423726768389699,0.11876339149066421,0.9585980119843176,1.0,0.7083595210051176,8
Tripura,79.0,20.0,0.08316126735493058,0.9999999999999872,0.5108724615978432,0.6060606060606061,0.987210388256462,1.0,0.7033062138055812,9
Chhattisgarh,1210.0,4.132947976878612,0.505998236939941,0.9999999999999872,0.827650530786557,0.1252408477842004,0.9221810681918032,1.0,0.6968066378990336,10
Madhya Pradesh,2339.0,3.7242339832869082,1.4098255606977572,0.9999999999999872,0.9044446718203947,0.11285557525111843,0.7831788509128469,1.0,0.6966275327235069,11
Kerala,637.0,7.0,0.32046991812032755,0.9999999999999872,0.7529363583819221,0.21212121212121213,0.9507140047451504,1.0,0.694347647332102,12
Himachal Pradesh,331.0,9.5,0.07479530081879672,0.9999999999999872,0.6767835612890557,0.2878787878787879,0.988497014437854,1.0,0.6903825243728902,13
West Bengal,1128.0,2.1515151515151514,0.398184407262371,0.9999999999999872,0.819476367000944,0.06519742883379247,0.938762068770774,1.0,0.6818423177629805,14
Jharkhand,1321.0,0.4666666666666667,0.33766432869571883,0.9999999999999872,0.8378748286250405,0.014141414141414142,0.9480696266300399,1.0,0.6782992103113777,15
Gujarat,486.0,4.862068965517241,0.18405126379494482,0.9999999999999872,0.7214501392030218,0.14733542319749215,0.9716942240093788,1.0,0.6697527562824576,16
Odisha,1211.0,,0.4259323138246905,0.9999999999999872,0.827746761584299,0.0,0.9344946379954181,1.0,0.6679976322328033,17
Punjab,502.0,3.9393939393939394,0.22901388394446423,0.9999999999999872,0.7252188262946757,0.11937557392102847,0.9647792926600258,1.0,0.6628872825301326,18
Bihar,806.0,2.1875,0.5531149875400498,0.9999999999999872,0.7803318016424278,0.06628787878787878,0.914934846892402,1.0,0.6616916597324213,19
Uttarakhand,487.0,1.3333333333333333,0.058640910658847877,0.9999999999999872,0.7216892851429703,0.0404040404040404,0.9909814448063521,1.0,0.6469730131194686,20
Tamil Nadu,389.0,3.4594594594594597,0.2871484514061944,0.9999999999999872,0.6955548938823142,0.10483210483210484,0.9558386094506092,1.0,0.6455977056510738,21
Mizoram,33.0,10.8,0.024314702741189034,0.9999999999999872,0.41111582194346763,0.32727272727272727,0.9962605715664228,1.0,0.5955166249088535,22
Meghalaya,67.0,5.4,0.04090423638305447,0.9999999999999872,0.4919254189414141,0.16363636363636364,0.9937092192237478,1.0,0.5864211023304061,23
Delhi,997.0,6.509554140127388,0.17083541770885444,0.0,0.8050976111237548,0.19725921636749663,0.9737267271887983,0.0,0.5660991939791358,24
Chandigarh,60.0,3.142857142857143,0.011569953720185119,0.9999999999999872,0.47926049414913086,0.09523809523809523,0.9982206233661601,1.0,0.5651578461424082,25
Manipur,32.0,4.666666666666667,0.01569953720185119,0.9999999999999872,0.40763545588416766,0.14141414141414144,0.9975855227830049,1.0,0.5479248222638035,26
Arunachal Pradesh,60.0,,0.021858312566749732,0.9999999999999872,0.47926049414913086,0.0,0.9966383469132994,1.0,0.5410318670423122,27
Sikkim,12.0,9.0,0.007867568529725881,0.9999999999999872,0.2990310423381763,0.2727272727272727,0.998790023888989,1.0,0.5375522398948865,28
Telangana,764.0,,,0.0,0.7741006604318467,0.0,1.0,0.0,0.5096402641727387,29
Jammu & Kashmir*,243.0,,,0.0,0.6408796881450238,0.0,1.0,0.0,0.4563518752580096,30
Puducherry,8.0,,0.003602774903223334,0.9999999999999872,0.25616036188026814,0.0,0.9994459188312399,1.0,0.4523533285183552,31
Nagaland,4.0,2.0,0.005945176219295123,0.9999999999999872,0.18763407360605733,0.06060606060606061,0.9990856741604578,1.0,0.44002227942602967,32
Jammu & Kashmir,,9.428571428571429,0.11950481008776973,0.9999999999999872,0.0,0.2857142857142857,0.981621009742618,1.0,0.41775277337709504,33
Lakshadweep,3.0,,0.00034494653328734045,0.9999999999999872,0.16161919399589292,0.0,0.9999469496753315,1.0,0.41463706753342344,34
Ludhiana,,24.0,0.01900950475237619,0.0,0.0,0.7272727272727273,0.9970764733035852,0.0,0.3812334764788989,35
Surat,,22.0,0.008504252126063032,0.0,0.0,0.6666666666666666,0.9986921064779196,0.0,0.3664050879622506,36
Daman & Diu,,,0.0009198574220995745,0.9999999999999872,0.0,0.0,0.9998585324675506,1.0,0.34997170649351017,37
D&N Haveli,,,0.002222988770073972,0.9999999999999872,0.0,0.0,0.999658120129914,1.0,0.34993162402598277,38
A&N Islands,,,0.005212525391897589,0.9999999999999872,0.0,0.0,0.9991983506494535,1.0,0.3498396701298907,39
Delhi UT,,,0.2925913150128397,0.9999999999999872,0.0,0.0,0.9550015357200595,1.0,0.3410003071440119,40
Kolkata,,15.333333333333334,,0.0,0.0,0.46464646464646464,1.0,0.0,0.3161616161616162,41
Faridabad,,14.0,,0.0,0.0,0.42424242424242425,1.0,0.0,0.3060606060606061,42
Pune,,11.8,0.025512756378189096,0.0,0.0,0.3575757575757576,0.996076319433759,0.0,0.28860920328069123,43
Vadodara,,10.0,,0.0,0.0,0.30303030303030304,1.0,0.0,0.27575757575757576,44
Dadra & Nagar Haveli**,4.0,,,0.0,0.18763407360605733,0.0,1.0,0.0,0.27505362944242295,45
Kanpur,,9.333333333333334,0.013506753376688344,0.0,0.0,0.2828282828282829,0.9979227573472842,0.0,0.2702916221765276,46
Nagpur,,8.4,0.02001000500250125,0.0,0.0,0.2545454545454546,0.996922603477458,0.0,0.2630208843318553,47
Orissa,,7.862068965517241,0.1455727863931966,0.0,0.0,0.23824451410658307,0.9776119402985075,0.0,0.25508351658634726,48
Andaman & Nicobar Islands,2.0,,,0.0,0.12808018094013404,0.0,1.0,0.0,0.2512320723760536,49
Daman & Diu**,2.0,,,0.0,0.12808018094013404,0.0,1.0,0.0,0.2512320723760536,50
Delhi (city),,6.729411764705882,,0.0,0.0,0.20392156862745098,1.0,0.0,0.25098039215686274,51
Lucknow,,6.666666666666667,0.007003501750875438,0.0,0.0,0.20202020202020202,0.9989229112171103,0.0,0.2502896327484726,52
Delhi (City),,6.057142857142857,,0.0,0.0,0.18354978354978355,1.0,0.0,0.2458874458874459,53
A & N Islands,,6.0,0.0030015007503751876,0.0,0.0,0.18181818181818182,0.9995383905216187,0.0,0.24536222355886922,54
Chennai,,6.0,0.013506753376688344,0.0,0.0,0.18181818181818182,0.9979227573472842,0.0,0.24503909692400233,55
